SUBJECT,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49,Trial 50
34,0.92502,0.10472,1.4835,2.0944,1.309,5.7072,6.0388,0.76794,1.1868,2.8623,4.1888,4.4157,6.0912,2.7925,2.4086,5.5152,1.4835,4.1015,5.8818,4.8869,2.7402,5.428,0.73304,4.7124,5.0789,3.0892,2.9322,4.2237,1.7977,3.4907,5.2534,1.7628,4.1713,1.0647,1.5708,3.6128,2.042,0.71558,2.4086,1.4312,5.2011,4.1539,3.1067,4.8171,2.7925,4.9393,2.6354,1.3788,1.1694,0.61087
35,1.1345,3.2289,5.0265,4.3284,1.0123,0.55851,5.5327,0.29671,3.7525,2.5307,0.8203,0.59341,0.69813,2.9147,1.8326,1.2915,0.90757,0.59341,1.8675,2.7576,1.8151,4.9916,5.7247,4.2935,3.6303,1.0297,2.0595,5.9341,0.34907,4.4855,3.5081,2.7053,1.4137,2.0944,0.85521,4.1015,5.1313,0.069813,6.1959,4.8695,4.1364,1.8151,0.2618,0.87266,3.8921,1.0821,5.2534,3.159,6.0388,0.087266
36,0.80285,1.6755,5.4454,0.95993,4.8171,5.3058,4.5553,1.9897,3.7874,5.2709,3.2289,0.17453,1.3614,2.042,0.8203,2.6005,1.5359,5.428,1.8675,0.62832,3.9095,3.0194,2.3387,1.1345,3.4208,3.9444,5.3582,0.61087,0.94248,3.543,4.9567,2.6878,4.5029,5.6898,5.2534,1.501,5.2185,5.3931,4.9916,4.3284,3.5256,1.0996,4.1364,5.0091,1.885,0.66323,5.7421,1.8151,1.693,3.6826
37,1.6232,1.6057,3.0543,0.97738,5.7945,2.1642,4.311,0.38397,5.0265,4.3459,3.7525,5.3058,1.5708,3.735,1.4486,4.5029,2.2515,0.97738,0.92502,6.2832,5.62,5.1313,1.2566,3.4907,5.7945,2.4784,1.2392,2.8623,1.6581,3.6826,4.9916,4.9916,4.0143,2.4435,3.7699,1.885,1.7279,4.0143,5.9341,5.8818,3.0892,3.5081,1.9897,2.2689,2.7751,1.5708,4.1364,2.9147,5.5676,5.62
38,5.8119,5.1487,5.4454,0.22689,5.1836,4.7822,0.66323,4.852,0.59341,1.2392,0.47124,5.7421,5.0615,1.7453,3.1067,4.6949,4.1015,4.6426,5.5676,6.0388,2.618,0.90757,5.4803,6.2657,3.4907,5.3058,4.0143,6.161,3.0718,5.0265,5.8643,5.0964,1.6755,1.3614,5.9167,5.8643,3.1067,4.2062,0.45379,5.4454,2.2166,0.43633,2.8972,1.3439,1.6057,5.6723,4.2586,1.0123,4.2062,1.9722
39,4.2935,3.1067,3.735,3.2463,2.6704,0.34907,5.2534,5.3931,2.1118,5.8469,3.1765,0.05236,5.236,5.4454,1.4835,0.24435,2.1991,0.15708,4.9567,4.468,5.4454,5.0091,2.5831,1.3439,1.0123,1.9722,0.50615,6.161,0.33161,4.1888,4.7124,4.1888,1.0297,5.8643,1.7628,1.1694,1.85,1.7279,0.034907,6.0039,4.2935,3.2114,4.8869,0.62832,3.0194,6.1785,5.7421,5.3407,6.0039,2.3387
40,4.0492,0.75049,4.2412,3.194,5.3233,5.62,5.7596,0.48869,3.4732,5.1138,1.6406,1.7453,1.9897,4.1539,2.0071,3.5605,5.9516,4.1539,4.1539,0.90757,1.4486,3.6303,3.0892,2.7925,1.7453,4.6251,2.3213,3.2987,3.1241,1.4137,2.8274,5.7072,3.6303,2.7402,5.6723,6.161,0.99484,1.1345,5.62,3.3336,0.017453,2.4086,3.3161,2.7402,4.9742,0.19199,3.2812,4.852,0.20944,4.1539
41,2.3562,1.2392,3.9095,1.3963,3.8921,3.159,4.4331,5.1138,0.47124,5.7596,0.29671,0.017453,3.5779,2.5307,4.3982,1.1868,3.1416,4.6775,2.1293,2.618,1.0472,2.0769,5.9341,0.087266,3.6128,1.7279,5.0091,3.4732,4.6426,1.0472,5.1662,6.2832,5.236,4.0492,0.69813,5.9516,4.7124,2.6005,4.2237,4.852,4.6775,4.9218,6.0737,0.66323,2.6529,5.8818,5.2534,2.8798,0.15708,0.17453
42,3.4732,2.4784,3.7001,2.9147,5.8992,2.618,0.85521,2.6878,5.3582,5.62,1.2915,3.7525,2.0071,2.426,4.5204,1.1519,4.3633,0.71558,1.9548,0.12217,3.8572,4.7298,1.117,5.2534,1.2392,4.2062,4.7124,4.6949,4.0317,2.4784,1.2741,3.2987,0.43633,1.5533,2.1991,2.426,3.3685,4.4331,0.97738,1.5359,5.3931,1.5359,5.4454,5.9167,5.5851,1.0647,0.17453,3.2638,1.5708,1.0647
43,4.7124,6.1087,2.3911,0.54105,5.9516,2.5656,2.5656,0.62832,1.8675,1.4312,5.7247,3.5605,4.852,3.4558,5.1487,3.7699,0.34907,1.1519,2.0944,5.3756,2.5831,0.8203,2.9671,5.044,5.1313,1.6057,3.0194,1.885,0.68068,5.1138,1.501,4.2761,2.1642,2.9845,2.1468,4.1539,2.1817,6.0737,1.2915,4.0492,2.8274,1.2915,4.3633,0.89012,5.6898,3.1241,0.75049,4.0666,3.4907,3.3161
44,4.0492,4.1539,4.6775,0.24435,4.0492,5.2709,5.5152,3.5954,1.9897,5.1836,5.1662,4.0143,5.62,3.6477,3.7525,3.7874,3.735,4.119,3.5605,3.6652,2.8274,1.85,4.8346,4.1713,2.5482,5.5501,6.1436,0.47124,1.8151,3.2114,5.7421,1.1519,5.8818,0.33161,2.2166,3.4558,0.69813,1.1694,5.0615,4.7997,3.9968,0.7854,2.7925,3.0718,1.501,1.3439,4.5204,3.0718,4.7647,2.8798
45,2.8623,1.9897,3.9095,2.8449,5.9341,0.20944,6.0563,4.0492,3.159,2.9322,2.4784,3.1416,5.4803,6.2308,1.9373,2.2515,2.9845,2.5307,4.4506,2.9671,0.89012,0.069813,3.7699,4.0317,2.2166,1.3788,2.2166,3.0718,3.9968,2.4784,1.9373,5.0091,5.1487,0.62832,0.99484,1.5184,0.19199,0.87266,0.71558,6.1959,5.2011,1.501,1.6232,0.62832,5.7247,3.2114,0.45379,4.1713,4.4506,3.2987
46,0.05236,5.5676,5.4454,1.2392,6.2134,4.7997,3.9619,1.7104,4.468,0.22689,4.66,2.4435,4.4855,2.1991,6.0388,2.7053,6.161,2.1118,3.7176,4.5902,3.0194,0.19199,5.8294,5.1313,2.3387,0.95993,3.9619,0.62832,4.8346,5.6374,2.7751,3.5081,0.80285,0.99484,2.2166,5.2011,1.4137,4.5728,3.4732,3.3336,3.4558,0.36652,3.0718,1.3788,3.6303,0.7854,2.234,1.885,2.7402,0.89012
47,3.1241,3.8397,2.8274,2.5482,6.0912,2.1642,5.5152,5.9167,3.3685,3.5605,2.2166,5.3407,2.3213,3.3336,4.5379,4.9218,3.4907,4.2412,0.64577,1.9024,5.0265,0.15708,0.99484,2.4958,3.3336,2.4435,4.4331,5.7421,3.5605,3.8572,5.2185,5.4454,1.4835,1.6406,6.2657,2.7053,5.4803,5.0615,2.6529,0.68068,4.0492,3.9619,2.3736,3.4383,3.0369,0.73304,2.6704,0.89012,1.8675,5.7945
