SUBJECT,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49,Trial 50
33,2.1468,1.3265,5.0964,3.9444,4.3982,3.1416,3.8048,5.1487,1.0996,3.5605,0.17453,6.0737,3.1241,3.5954,0.05236,0.48869,4.9044,3.927,3.8921,1.0123,4.7473,4.8695,1.0647,4.2062,2.9147,NaN,NaN,2.9147,NaN,2.9147,NaN,NaN,NaN,2.9147,2.9147,NaN,2.9147,2.9147,NaN,NaN,NaN,2.9147,2.9147,NaN,2.9147,2.9147,2.9147,2.9147,2.9147,NaN
34,0.36652,5.9341,1.5533,2.7053,1.7802,6.1436,1.5359,6.0214,1.7104,2.7053,3.927,4.0492,6.2832,3.2638,3.2289,5.2883,1.3963,3.8746,5.7247,4.7298,2.7751,5.777,5.8818,4.5029,5.0091,NaN,5.0091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0091,NaN,5.0091,5.0091,5.0091,5.0091,5.0091,NaN,NaN,NaN,NaN,5.0091,NaN,5.0091,NaN,NaN
35,0.85521,3.6477,4.8171,4.0666,0.97738,0.34907,5.7596,0.45379,4.1539,2.6529,0.99484,0.47124,0.8203,3.0543,1.4137,1.2392,0.94248,0.59341,2.1118,2.81,1.7453,4.9742,5.8294,3.8921,3.7874,NaN,3.7874,3.7874,NaN,NaN,3.7874,3.7874,NaN,NaN,3.7874,3.7874,3.7874,3.7874,3.7874,NaN,3.7874,NaN,3.7874,3.7874,NaN,NaN,3.7874,NaN,NaN,NaN
36,1.117,1.9199,5.4105,1.1868,4.9218,5.1662,4.3982,1.9722,4.3459,5.1662,3.2463,5.62,1.0821,2.1293,0.8203,2.7751,1.6406,5.4454,2.0246,0.48869,4.0666,2.7925,2.4435,1.1694,3.0892,NaN,NaN,3.0892,3.0892,3.0892,NaN,3.0892,3.0892,3.0892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0892,3.0892,NaN,NaN,3.0892,3.0892,NaN,NaN,NaN
37,1.3614,1.6057,3.159,0.85521,5.9341,2.0595,4.4331,5.9865,4.7473,3.9794,3.8048,4.852,1.501,3.7874,1.309,4.2586,2.6529,0.94248,0.92502,0.22689,5.969,4.9916,1.3265,3.7874,5.4803,NaN,NaN,NaN,5.4803,NaN,NaN,5.4803,5.4803,NaN,NaN,NaN,5.4803,5.4803,NaN,5.4803,5.4803,5.4803,5.4803,5.4803,5.4803,NaN,5.4803,NaN,NaN,5.4803
38,5.5152,5.1138,5.4978,6.2308,5.2709,4.6077,0.71558,4.9742,0.2618,1.0647,0.15708,5.62,5.2011,1.7104,3.002,4.7473,4.0317,4.6775,6.1087,5.8469,2.6529,1.6406,6.0039,0.087266,3.1765,NaN,3.1765,3.1765,NaN,NaN,NaN,3.1765,3.1765,3.1765,NaN,NaN,NaN,3.1765,3.1765,NaN,3.1765,3.1765,NaN,3.1765,3.1765,NaN,3.1765,NaN,3.1765,3.1765
39,4.119,2.9671,4.1888,3.1067,2.6005,6.2483,4.9567,5.8643,2.2515,5.8818,3.0718,6.1087,5.2185,5.6549,1.4312,5.9167,2.3387,5.969,5.0615,4.5902,5.777,5.1313,2.9147,1.2741,1.2043,NaN,1.2043,NaN,1.2043,1.2043,1.2043,NaN,NaN,1.2043,1.2043,1.2043,NaN,NaN,1.2043,1.2043,1.2043,NaN,NaN,1.2043,NaN,1.2043,NaN,NaN,1.2043,NaN
40,4.0492,0.54105,4.2586,3.5605,5.1836,5.7072,6.1785,0.5236,3.3161,5.2185,1.7802,1.6755,2.0595,4.2412,2.2166,4.5029,5.9865,4.1015,4.1015,0.55851,1.501,3.4732,3.2638,2.7402,1.7802,NaN,1.7802,1.7802,NaN,NaN,NaN,NaN,NaN,1.7802,NaN,NaN,1.7802,NaN,1.7802,NaN,1.7802,NaN,NaN,1.7802,1.7802,NaN,NaN,1.7802,1.7802,1.7802
41,2.4784,1.4137,3.6477,0.89012,4.1364,2.9671,3.8397,5.1138,0.48869,5.7596,0.33161,0.15708,3.6303,2.3562,4.4331,1.0821,2.9147,2.5831,2.1468,2.2864,0.99484,1.9897,0.10472,5.7945,3.5779,NaN,NaN,3.5779,3.5779,NaN,NaN,3.5779,NaN,3.5779,3.5779,3.5779,3.5779,3.5779,NaN,NaN,3.5779,NaN,NaN,3.5779,NaN,NaN,3.5779,3.5779,3.5779,NaN
42,3.4907,2.7576,3.3685,2.5656,5.6374,2.7227,1.1345,2.4784,5.5152,5.4978,1.4312,3.927,2.042,2.2515,4.4157,1.2741,4.5553,1.0996,2.0944,6.2483,3.8572,4.8346,1.0821,0.97738,1.0472,NaN,1.0472,1.0472,1.0472,1.0472,1.0472,NaN,NaN,1.0472,1.0472,1.0472,1.0472,1.0472,NaN,1.0472,1.0472,1.0472,1.0472,NaN,NaN,1.0472,NaN,1.0472,1.0472,1.0472
